game_id,posteam,RushingYards,PassingYards,TotalYards,home_score,away_score,Winner,Win,Q4_RushingYards,Q4_PassingYards,Q4_TotalYards
2023_01_ARI_WAS,ARI,96,132,228,20,16,WAS,0,18,19,37
2023_01_ARI_WAS,WAS,92,202,294,20,16,WAS,1,41,10,51
2023_01_BUF_NYJ,BUF,97,236,333,22,16,NYJ,0,19,64,83
2023_01_BUF_NYJ,NYJ,172,140,312,22,16,NYJ,1,30,41,71
2023_01_CAR_ATL,ATL,130,115,245,24,10,ATL,1,16,62,78
2023_01_CAR_ATL,CAR,154,146,300,24,10,ATL,0,23,41,64
2023_01_CIN_CLE,CIN,75,82,157,24,3,CLE,0,1,11,12
2023_01_CIN_CLE,CLE,206,154,360,24,3,CLE,1,37,32,69
2023_01_DAL_NYG,DAL,122,143,265,0,40,DAL,1,32,26,58
2023_01_DAL_NYG,NYG,108,110,218,0,40,DAL,0,9,51,60
2023_01_DET_KC,DET,118,253,371,20,21,DET,1,54,59,113
2023_01_DET_KC,KC,90,226,316,20,21,DET,0,12,13,25
2023_01_GB_CHI,CHI,122,216,338,20,38,GB,0,41,72,113
2023_01_GB_CHI,GB,92,245,337,20,38,GB,1,32,71,103
2023_01_HOU_BAL,BAL,110,169,279,25,9,BAL,1,14,37,51
2023_01_HOU_BAL,HOU,72,242,314,25,9,BAL,0,17,84,101
2023_01_JAX_IND,IND,65,223,288,21,31,JAX,0,12,59,71
2023_01_JAX_IND,JAX,105,241,346,21,31,JAX,1,61,38,99
2023_01_LA_SEA,LA,92,334,426,13,30,LA,1,32,78,110
2023_01_LA_SEA,SEA,85,112,197,13,30,LA,0,9,10,19
2023_01_LV_DEN,DEN,94,177,271,16,17,LV,0,16,25,41
2023_01_LV_DEN,LV,61,200,261,16,17,LV,1,14,72,86
2023_01_MIA_LAC,LAC,233,229,462,34,36,MIA,0,44,68,112
2023_01_MIA_LAC,MIA,70,466,536,34,36,MIA,1,2,124,126
2023_01_PHI_NE,NE,76,316,392,20,25,PHI,0,23,139,162
2023_01_PHI_NE,PHI,97,170,267,20,25,PHI,1,18,66,84
2023_01_SF_PIT,PIT,41,232,273,7,30,SF,0,9,121,130
2023_01_SF_PIT,SF,188,220,408,7,30,SF,1,35,22,57
2023_01_TB_MIN,MIN,41,344,385,17,20,TB,0,1,10,11
2023_01_TB_MIN,TB,73,173,246,17,20,TB,1,25,52,77
2023_01_TEN_NO,NO,69,305,374,16,15,NO,1,25,79,104
2023_01_TEN_NO,TEN,104,198,302,16,15,NO,0,10,90,100
2023_02_BAL_CIN,BAL,178,237,415,24,27,BAL,1,57,43,100
2023_02_BAL_CIN,CIN,66,222,288,24,27,BAL,0,17,74,91
2023_02_CHI_TB,CHI,67,211,278,27,17,TB,0,6,94,100
2023_02_CHI_TB,TB,120,317,437,27,17,TB,1,16,42,58
2023_02_CLE_PIT,CLE,198,235,433,26,22,PIT,0,32,100,132
2023_02_CLE_PIT,PIT,55,222,277,26,22,PIT,1,4,0,4
2023_02_GB_ATL,ATL,211,237,448,25,24,ATL,1,47,119,166
2023_02_GB_ATL,GB,84,151,235,25,24,ATL,0,11,0,11
2023_02_IND_HOU,HOU,52,384,436,20,31,IND,0,2,190,192
2023_02_IND_HOU,IND,126,227,353,20,31,IND,1,26,11,37
2023_02_KC_JAX,JAX,74,215,289,9,17,KC,0,15,43,58
2023_02_KC_JAX,KC,100,305,405,9,17,KC,1,52,90,142
2023_02_LAC_TEN,LAC,61,305,366,27,24,TEN,0,11,94,105
2023_02_LAC_TEN,TEN,141,246,387,27,24,TEN,1,15,74,89
2023_02_LV_BUF,BUF,183,274,457,38,10,BUF,1,67,65,132
2023_02_LV_BUF,LV,55,185,240,38,10,BUF,0,23,34,57
2023_02_MIA_NE,MIA,145,249,394,17,24,MIA,1,74,8,82
2023_02_MIA_NE,NE,88,231,319,17,24,MIA,0,46,103,149
2023_02_MIN_PHI,MIN,28,364,392,34,28,PHI,0,13,153,166
2023_02_MIN_PHI,PHI,259,193,452,34,28,PHI,1,72,20,92
2023_02_NO_CAR,CAR,100,153,253,17,20,NO,0,56,69,125
2023_02_NO_CAR,NO,134,236,370,17,20,NO,1,41,53,94
2023_02_NYG_ARI,ARI,151,228,379,28,31,NYG,0,5,27,32
2023_02_NYG_ARI,NYG,127,321,448,28,31,NYG,1,66,149,215
2023_02_NYJ_DAL,DAL,134,255,389,30,10,DAL,1,21,31,52
2023_02_NYJ_DAL,NYJ,64,170,234,30,10,DAL,0,0,54,54
2023_02_SEA_DET,DET,102,323,425,31,37,SEA,0,26,81,107
2023_02_SEA_DET,SEA,82,328,410,31,37,SEA,1,24,34,58
2023_02_SF_LA,LA,89,307,396,23,30,SF,0,17,102,119
2023_02_SF_LA,SF,159,206,365,23,30,SF,1,45,54,99
2023_02_WAS_DEN,DEN,122,308,430,33,35,WAS,0,33,122,155
2023_02_WAS_DEN,WAS,122,299,421,33,35,WAS,1,29,81,110
2023_03_ATL_DET,ATL,44,201,245,20,6,DET,0,5,81,86
2023_03_ATL_DET,DET,115,243,358,20,6,DET,1,53,22,75
2023_03_BUF_WAS,BUF,168,218,386,3,37,BUF,1,75,19,94
2023_03_BUF_WAS,WAS,105,170,275,3,37,BUF,0,0,58,58
2023_03_CAR_SEA,CAR,44,361,405,37,27,SEA,0,11,94,105
2023_03_CAR_SEA,SEA,146,296,442,37,27,SEA,1,54,39,93
2023_03_CHI_KC,CHI,116,99,215,41,10,KC,0,22,57,79
2023_03_CHI_KC,KC,153,303,456,41,10,KC,1,44,31,75
2023_03_DAL_ARI,ARI,222,189,411,28,16,ARI,1,29,76,105
2023_03_DAL_ARI,DAL,185,249,434,28,16,ARI,0,45,61,106
2023_03_DEN_MIA,DEN,69,306,375,70,20,MIA,0,21,57,78
2023_03_DEN_MIA,MIA,350,376,726,70,20,MIA,1,140,77,217
2023_03_HOU_JAX,HOU,86,280,366,17,37,HOU,1,41,68,109
2023_03_HOU_JAX,JAX,116,288,404,17,37,HOU,0,7,121,128
2023_03_IND_BAL,BAL,186,202,388,19,22,IND,0,49,62,111
2023_03_IND_BAL,IND,139,227,366,19,22,IND,1,12,52,64
2023_03_LAC_MIN,LAC,30,454,484,24,28,LAC,1,1,105,106
2023_03_LAC_MIN,MIN,130,367,497,24,28,LAC,0,23,136,159
2023_03_LA_CIN,CIN,67,259,326,19,16,CIN,1,11,24,35
2023_03_LA_CIN,LA,71,269,340,19,16,CIN,0,9,65,74
2023_03_NE_NYJ,NE,157,201,358,10,15,NE,1,51,20,71
2023_03_NE_NYJ,NYJ,38,157,195,10,15,NE,0,6,110,116
2023_03_NO_GB,GB,95,259,354,18,17,GB,1,32,104,136
2023_03_NO_GB,NO,77,204,281,18,17,GB,0,9,96,105
2023_03_NYG_SF,NYG,29,137,166,30,12,SF,0,4,19,23
2023_03_NYG_SF,SF,141,310,451,30,12,SF,1,30,58,88
2023_03_PHI_TB,PHI,201,277,478,11,25,PHI,1,27,45,72
2023_03_PHI_TB,TB,41,146,187,11,25,PHI,0,16,59,75
